Entry	WormBase	Gene Names	Organism
Q9XU81	K08H10.9;	trpp-6 CELE_K08H10.9 K08H10.9	Caenorhabditis elegans
Q9XU83	K08H10.6;	CELE_K08H10.6 K08H10.6	Caenorhabditis elegans
Q9XU87	F57G8.4;	srw-87 CELE_F57G8.4 F57G8.4	Caenorhabditis elegans
Q9XU90	F57G8.3a;	srh-167 CELE_F57G8.3 F57G8.3	Caenorhabditis elegans
Q9XU91	F57G8.1;	srh-180 CELE_F57G8.1 F57G8.1	Caenorhabditis elegans
Q9XU92	F57G8.7;	CELE_F57G8.7 F57G8.7	Caenorhabditis elegans
Q9XU96	F44E5.2;	CELE_F44E5.2 F44E5.2	Caenorhabditis elegans
Q9XU97	F44E5.1;	CELE_F44E5.1 F44E5.1	Caenorhabditis elegans
Q9XU99	F14H3.7;	fbxa-100 CELE_F14H3.7 F14H3.7	Caenorhabditis elegans
Q9XUA7	ZK896.6;	clec-187 CELE_ZK896.6 ZK896.6	Caenorhabditis elegans
Q9XUA8	ZK896.5;	CELE_ZK896.5 ZK896.5	Caenorhabditis elegans
Q9XUA9	ZK896.4;	CELE_ZK896.4 ZK896.4	Caenorhabditis elegans
Q9XUB1	W02A2.8a;	CELE_W02A2.8 W02A2.8	Caenorhabditis elegans
Q9XUB4	W02A2.5;	glr-9 CELE_W02A2.5 W02A2.5	Caenorhabditis elegans
Q9XUB6	W02A2.3a;	pqn-74 CELE_W02A2.3 W02A2.3	Caenorhabditis elegans
Q9XUB7	W02A2.2;	far-6 CELE_W02A2.2 W02A2.2	Caenorhabditis elegans
Q9XUC0	T28F3.8;	CELE_T28F3.8 T28F3.8	Caenorhabditis elegans
Q9XUC5	T27E7.4;	CELE_T27E7.4 T27E7.4	Caenorhabditis elegans
Q9XUC8	M162.3a;	srt-45 CELE_M162.3 M162.3	Caenorhabditis elegans
Q9XUC9	M162.2;	clec-258 CELE_M162.2 M162.2	Caenorhabditis elegans
Q9XUD2	M162.8;	fbxa-118 CELE_M162.8 M162.8	Caenorhabditis elegans
Q9XUD5	F55G11.7;	CELE_F55G11.7 F55G11.7	Caenorhabditis elegans
Q9XUD6	F55G11.8;	CELE_F55G11.8 F55G11.8	Caenorhabditis elegans
Q9XUD8	F55G11.2;	CELE_F55G11.2 F55G11.2	Caenorhabditis elegans
Q9XUD9	F55G11.10;	CELE_F55G11.10 F55G11.10	Caenorhabditis elegans
Q9XUE0	F55G11.5a;	dod-22 CELE_F55G11.5 F55G11.5	Caenorhabditis elegans
Q9XUE1	F55G11.6;	CELE_F55G11.6 F55G11.6	Caenorhabditis elegans
Q9XUE8	F52B11.6;	ins-34 CELE_F52B11.6 F52B11.6	Caenorhabditis elegans
Q9XUF0	F52B11.5;	CELE_F52B11.5 F52B11.5	Caenorhabditis elegans
Q9XUF1	C49C3.15;	C49C3.15 CELE_C49C3.15	Caenorhabditis elegans
Q9XUF2	C49C3.7;	C49C3.7 CELE_C49C3.7	Caenorhabditis elegans
Q9XUF4	C49C3.13;	clec-198 C49C3.13 CELE_C49C3.13	Caenorhabditis elegans
Q9XUF6	C49C3.9;	C49C3.9 CELE_C49C3.9	Caenorhabditis elegans
Q9XUF7	C49C3.8a;	C49C3.8 CELE_C49C3.8	Caenorhabditis elegans
Q9XUF8	C49C3.6;	C49C3.6 CELE_C49C3.6	Caenorhabditis elegans
Q9XUF9	C49C3.4a;	C49C3.4 CELE_C49C3.4	Caenorhabditis elegans
Q9XUG1	C49C3.12;	clec-197 C49C3.12 CELE_C49C3.12	Caenorhabditis elegans
Q9XUG2	C49C3.11;	C49C3.11 CELE_C49C3.11	Caenorhabditis elegans
Q9XUG6	C43F9.5;	C43F9.5 CELE_C43F9.5	Caenorhabditis elegans
Q9XUG7	C43F9.4a;	C43F9.4 CELE_C43F9.4	Caenorhabditis elegans
Q9XUG8	C43F9.7;	C43F9.7 CELE_C43F9.7	Caenorhabditis elegans
Q9XUH1	C32H11.2;	srz-15 C32H11.2 CELE_C32H11.2	Caenorhabditis elegans
Q9XUH2	C32H11.13;	dct-19 C32H11.13 CELE_C32H11.13	Caenorhabditis elegans
Q9XUH3	C32H11.12;	dod-24 C32H11.12 CELE_C32H11.12	Caenorhabditis elegans
